t,rssi,zone,A,B,open
0.6999999999970896,-81,далеко,0,1,0
0.978000000002794,-81,далеко,0,2,0
1.3619999999937136,-81,далеко,0,3,0
1.6379999999917345,-76,далеко,0,4,0
1.9170000000012806,-76,далеко,0,5,0
2.1849999999976717,-78,далеко,0,6,0
2.595000000001164,-87,далеко,0,7,0
2.889999999999418,-87,далеко,0,8,0
3.213999999992666,-87,далеко,0,9,0
3.4899999999906868,-82,далеко,0,10,0
3.8329999999987194,-82,далеко,0,11,0
4.084000000002561,-82,далеко,0,12,0
4.368999999991502,-82,далеко,0,13,0
4.629999999990105,-82,далеко,0,14,0
4.8989999999903375,-82,далеко,0,15,0
5.180999999996857,-82,далеко,0,16,0
5.448000000003958,-82,далеко,0,17,0
5.730999999999767,-75,между,0,17,0
6.023000000001048,-75,между,0,17,0
6.285999999992782,-80,далеко,0,18,0
6.639999999999418,-80,далеко,0,19,0
6.945999999996275,-81,далеко,0,20,0
7.360000000000582,-81,далеко,0,21,0
7.622999999992317,-81,далеко,0,22,0
7.952999999994063,-78,далеко,0,23,0
8.23399999999674,-78,далеко,0,24,0
8.51699999999255,-78,далеко,0,25,0
9.08299999999872,-78,далеко,0,26,0
9.385999999998603,-78,далеко,0,27,0
9.718999999997322,-78,далеко,0,28,0
10.012000000002445,-78,далеко,0,29,0
10.563999999998487,-76,далеко,0,30,0
10.862999999997555,-76,далеко,0,31,0
11.190000000002328,-85,далеко,0,32,0
11.44199999999546,-85,далеко,0,33,0
11.747999999992317,-82,далеко,0,34,0
12.010999999998603,-82,далеко,0,35,0
12.34100000000035,-82,далеко,0,36,0
12.644000000000233,-81,далеко,0,37,0
12.89999999999418,-81,далеко,0,38,0
13.152000000001863,-81,далеко,0,39,0
13.440000000002328,-92,далеко,0,40,0
13.724999999991269,-92,далеко,0,41,0
14.006999999997788,-92,далеко,0,42,0
14.28399999999965,-92,далеко,0,43,0
14.627999999996973,-92,далеко,0,44,0
14.91799999999057,-88,далеко,0,45,0
15.222999999998137,-78,далеко,0,46,0
15.493000000002212,-78,далеко,0,47,0
15.754000000000815,-78,далеко,0,48,0
16.01600000000326,-80,далеко,0,49,0
16.338999999992666,-80,далеко,0,50,0
16.714999999996508,-80,далеко,0,51,0
17.093999999997322,-80,далеко,0,52,0
17.440999999991618,-80,далеко,0,53,0
17.703999999997905,-87,далеко,0,54,0
17.963000000003376,-87,далеко,0,55,0
18.264999999999418,-87,далеко,0,56,0
18.520000000004075,-87,далеко,0,57,0
18.819999999992433,-87,далеко,0,58,0
19.114000000001397,-85,далеко,0,59,0
19.39999999999418,-85,далеко,0,60,0
19.656000000002678,-90,далеко,0,61,0
19.986000000004424,-90,далеко,0,62,0
20.255999999993946,-82,далеко,0,63,0
20.639999999999418,-82,далеко,0,64,0
20.895999999993364,-82,далеко,0,65,0
21.198999999993248,-82,далеко,0,66,0
21.569999999992433,-82,далеко,0,67,0
21.870999999999185,-82,далеко,0,68,0
22.13300000000163,-76,далеко,0,69,0
22.39199999999255,-89,далеко,0,70,0
22.64299999999639,-73,между,0,70,0
22.960999999995693,-73,между,0,70,0
23.228000000002794,-73,между,0,70,0
23.478999999992084,-77,далеко,0,71,0
23.823000000003958,-77,далеко,0,72,0
24.198999999993248,-77,далеко,0,73,0
24.54899999999907,-77,далеко,0,74,0
24.815999999991618,-77,далеко,0,75,0
25.072000000000116,-77,далеко,0,76,0
25.34900000000198,-82,далеко,0,77,0
25.620999999999185,-86,далеко,0,78,0
25.888999999995576,-70,между,0,78,0
26.145999999993364,-70,между,0,78,0
26.395000000004075,-70,между,0,78,0
26.65099999999802,-70,между,0,78,0
26.937999999994645,-70,между,0,78,0
27.203999999997905,-70,между,0,78,0
27.486999999993714,-70,между,0,78,0
27.811000000001513,-70,между,0,78,0
28.069000000003143,-70,между,0,78,0
28.327999999994063,-70,между,0,78,0
28.585999999995693,-70,между,0,78,0
28.88499999999476,-83,далеко,0,79,0
29.137000000002445,-82,далеко,0,80,0
29.39199999999255,-82,далеко,0,81,0
29.65099999999802,-84,далеко,0,82,0
29.955999999991036,-86,далеко,0,83,0
30.22499999999127,-86,далеко,0,84,0
30.479999999995925,-86,далеко,0,85,0
30.739000000001397,-86,далеко,0,86,0
31.105999999999767,-86,далеко,0,87,0
31.48399999999674,-86,далеко,0,88,0
31.864000000001397,-86,далеко,0,89,0
32.20900000000256,-86,далеко,0,90,0
32.5,-86,далеко,0,91,0
32.778999999994994,-86,далеко,0,92,0
33.138999999995576,-80,далеко,0,93,0
33.487999999997555,-78,далеко,0,94,0
33.82799999999406,-78,далеко,0,95,0
34.21499999999651,-78,далеко,0,96,0
34.51600000000326,-78,далеко,0,97,0
34.81999999999243,-78,далеко,0,98,0
35.187999999994645,-69,между,0,98,0
35.51799999999639,-69,между,0,98,0
35.86800000000221,-69,между,0,98,0
36.220999999990454,-69,между,0,98,0
36.720000000001164,-69,между,0,98,0
36.986000000004424,-69,между,0,98,0
37.263999999995576,-69,между,0,98,0
37.51799999999639,-69,между,0,98,0
37.80999999999767,-69,между,0,98,0
38.05899999999383,-69,между,0,98,0
38.346999999994296,-69,между,0,98,0
38.6649999999936,-69,между,0,98,0
38.947000000000116,-67,между,0,98,0
39.336999999999534,-67,между,0,98,0
39.60899999999674,-68,между,0,98,0
39.8640000000014,-68,между,0,98,0
40.112999999997555,-68,между,0,98,0
40.362999999997555,-65,между,0,98,0
40.68600000000151,-65,между,0,98,0
40.94400000000314,-65,между,0,98,0
41.19499999999243,-68,между,0,98,0
41.49799999999232,-74,между,0,98,0
41.75,-61,близко,1,98,0
42.036999999996624,-61,близко,2,98,0
42.57300000000396,-61,близко,4,98,0
42.83199999999488,-62,близко,5,98,0
43.10199999999895,-61,близко,6,0,1
43.36999999999534,-61,близко,7,0,0
43.630999999993946,-64,близко,8,0,0
44.06900000000314,-64,близко,9,0,0
44.346999999994296,-58,близко,10,0,0
44.6759999999922,-58,близко,11,0,0
44.96700000000419,-58,близко,12,0,0
45.23200000000361,-58,близко,13,0,0
45.544999999998254,-58,близко,14,0,0
45.81999999999243,-61,близко,15,0,0
46.08499999999185,-80,далеко,0,1,0
46.361000000004424,-70,между,0,1,0
46.62600000000384,-70,между,0,1,0
46.879000000000815,-70,между,0,1,0
47.16400000000431,-66,между,0,1,0
47.4320000000007,-71,между,0,1,0
47.6820000000007,-71,между,0,1,0
47.94099999999162,-61,близко,1,1,0
48.21099999999569,-62,близко,2,1,0
48.47599999999511,-62,близко,3,1,0
48.99700000000303,-62,близко,4,1,0
49.25199999999313,-62,близко,5,1,0
49.52300000000105,-67,между,5,1,0
49.804999999993015,-67,между,5,1,0
50.072000000000116,-67,между,5,1,0
50.3640000000014,-67,между,5,1,0
50.62299999999232,-67,между,5,1,0
51.096999999994296,-67,между,5,1,0
51.36499999999069,-61,близко,6,0,0
51.62399999999616,-61,близко,7,0,0
51.87399999999616,-59,близко,8,0,0
52.1649999999936,-58,близко,9,0,0
52.41599999999744,-59,близко,10,0,0
52.669999999998254,-59,близко,11,0,0
52.95999999999185,-59,близко,12,0,0
53.25,-59,близко,13,0,0
53.56100000000151,-59,близко,14,0,0
53.82399999999325,-59,близко,15,0,0
54.11000000000058,-59,близко,16,0,0
54.387999999991735,-55,близко,17,0,0
54.69099999999162,-63,близко,18,0,0
54.96799999999348,-63,близко,19,0,0
55.34100000000035,-63,близко,20,0,0
55.645000000004075,-63,близко,21,0,0
56.21099999999569,-63,близко,22,0,0
56.470999999990454,-63,близко,23,0,0
56.72699999999895,-63,близко,24,0,0
57.111999999993714,-63,близко,25,0,0
57.379999999990105,-68,между,25,0,0
57.65899999999965,-68,между,25,0,0
58.03299999999581,-68,между,25,0,0
58.279999999998836,-68,между,25,0,0
58.54299999999057,-68,между,25,0,0
58.80000000000291,-68,между,25,0,0
59.052999999999884,-60,близко,26,0,0
59.34900000000198,-60,близко,27,0,0
59.62799999999697,-60,близко,28,0,0
59.91700000000128,-60,близко,29,0,0
60.19899999999325,-75,между,29,0,0
60.4939999999915,-75,между,29,0,0
60.754000000000815,-75,между,29,0,0
61.01499999999942,-76,далеко,0,1,0
61.338000000003376,-76,далеко,0,2,0
61.59100000000035,-76,далеко,0,3,0
61.84799999999814,-70,между,0,3,0
62.16799999999057,-69,между,0,3,0
62.46600000000035,-80,далеко,0,4,0
62.728000000002794,-80,далеко,0,5,0
62.9890000000014,-74,между,0,5,0
63.33999999999651,-74,между,0,5,0
63.595999999990454,-69,между,0,5,0
63.89100000000326,-69,между,0,5,0
64.14599999999336,-69,между,0,5,0
64.3969999999972,-74,между,0,5,0
64.66099999999278,-74,между,0,5,0
64.90899999999965,-74,между,0,5,0
65.1929999999993,-66,между,0,5,0
65.45999999999185,-67,между,0,5,0
65.77099999999336,-67,между,0,5,0
66.03199999999197,-67,между,0,5,0
66.3179999999993,-67,между,0,5,0
66.68899999999849,-67,между,0,5,0
67.00100000000384,-67,между,0,5,0
67.28299999999581,-67,между,0,5,0
67.53500000000349,-60,близко,1,5,0
67.79499999999825,-93,далеко,0,6,0
68.05299999999988,-64,близко,1,6,0
68.38099999999395,-62,близко,2,6,0
68.68099999999686,-62,близко,3,6,0
69.0219999999972,-62,близко,4,6,0
69.33599999999569,-62,близко,5,6,0
69.60399999999208,-62,близко,6,0,0
